SN,PROJECTID,Year of Sanction,Date of sanction,Short Name of Work,Station,Block section Station,ALLOCATION,Current Cost,Expenditure upto date,Financial Progress,ENGG. REMARKS (as on 06.08.24),IF UB?,PARENT WORK,Section,Remarks as on 14/06/24
42,14.01.53.21.3.50.012,2021-2022,21/03/2022,"Bangalore city~Replacement of Coach indication boards at PF no. 2,3,4,9 & 10 at KSR Bengaluru station of Bengaluru Division.",SBC,SEC: Stn: SBC,DF(1),22233,22233,100,"The work has combines the 9 PF ( @ 5 stations) and 5 platform at SBC stations. LOA has issued of Rs.3,24,39,316/- on dt:06/09/2022 and commissioned on Dt:27.03.2023
updated on : 08/04/2024",Y,"SWR - Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenity items (Umbrella Work 2020-21)",west,"All the 5 nos of Platforms (PFNO:2,3,4,9 & 10 at SBC stn) commissioned on 27.03.2023. Work is combined with Coach indication board works at Sl.No.43. "
43,14.01.53.21.3.50.013,2021-2022,21/03/2022,Proposal for provision of Coach Guidance Board with Integrated Passenger Information system at 5 Stations Total PFs-9 nos.,Combined,SEC:SBC-BNC Stn: SBC,DF(1),22291,3724,16.71,"MYA, TK & BWT are commissioned and KPN & HUP will be commissioned by end of 07/2024.
updated on : 15/05/2024",Y,"SWR - Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenity items (Umbrella Work 2020-21)",div,"MYA (PF No:2 & 3),TK (PF No: 2&3),BWT(PF No: 3) & KPN(PF No:1&2) stations are commissioned. At HUP stn work yet to be started. (Platform shelter work is in progress, executing by GSU unit). TDC is based on PF shelter works by GSU"
44,14.01.53.21.3.50.015,2021-2022,30/03/2022 (GM/SWR),"SBC-DMM Sec: Improvements to Water pedestrials, PF Toilets & Running Room Toilets at SSPN, PKD, NRYP, BSPL Stations.","SSPN, PKD, NRYP, BSPL ",SEC:SBC-DMM Stn: SBC,Cap.,2482,1339,53.95,"(i) Estimate status : sanctioned. (ii) Tender status : To be called (iii) Work in progress/To be started: Work to be started (iv) TDC: (05/24) (Progress : 0%): (v) Latest status: Work sanctioned in Mar'22, Work completed. Variation to be processed.
updated on : 15/05/2024",N,,north,FCC pending. Would be subitted by 30.11.2024. Final bill to be passed by 15.12.2024 and Work closure by 31.12.2024
45,14.01.53.21.3.50.016,2021-2022,31/03/2022,"Nayandahalli - Improvements and upgradation of various facilities such as Station building, circulating area, PF Shelter, Waiting area etc",NYH,SEC: Stn: NYH,Cap.,24792,0,0,"Waiting hall work in progress, PF extension by 70mtr in progress, Facade and circulating area improvement is planned, TDC : 31.05.2024 Expenditure Jan-Mar (ENGG-0.60, ELECTR-0.07 TOTAL-0.67)
updated on : 15/05/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",west,final variation in progress. TDC for FCC 28.02.2025
46,14.01.53.21.3.50.017,2021-2022,31/03/2022,"Bangarapet - Marikuppam - Construction of Station building at OGM,COL & BEML stns and compound wall for 600mtrs at OGM","OGM,COL & BEML",SEC:BWT-MKM Stn: BWT,Cap.,22688,21691,95.61,"(i) Estimate status : sanctioned on 17.05.22 (ii) Tender status : Awarded on 25.8.22 & Agt No. 10131990060616 Dated:25/08/2022 (iii) Latest status : Work completed on 30.11.2023, Final bill to be passed.
updated on : 05/09/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",east,"Engg completed. FCC cleared.
Elec: 90% work completed. TDC for workcompletion: 15.12.2024. Work closure depends on clubbed work completion."
47,14.01.53.21.3.50.018,2021-2022,31/03/2022 (GM/SWR),Nelamangala - Provision of improved loading facilities at NMGA goods shed,NMGA,SEC: Stn: NMGA,Cap.,24792,12397,50,"LOA awarded vide No.58902 of 26.7.2022. Agt No. 2022/0077 of 27.03.2022 (M/s Manjunatha Engg Works). Agt value Rs. 15354705/-. Work is in progress. 77% Work done, balance work not carrying out by agency due to approach road problem by local public.
updated on : 15/05/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",north,Variation yet to be received from ADEN/KIGL. Work completion TDC: 31.01.2025.
48,14.01.53.21.3.50.019,2021-2022,31/03/2022 (GM/SWR),Maralahalli - Extension of Rail Level PF on both UP & DN line for a length of 150mtrs each at MZV station,MZV,SEC: Stn: MZV,Cap.,3885,0,0,"(i) Estimate status : Sanctioned 28.07.22 (ii) Tender status : Awarded on 22.6.22 & Agt No. 00965340056579 dt:-22-06-2022 (iii) Work in progress/To be started: Work completed.
(v) Latest status: Work completed on 30-09-2023 Final bill also passed (vi) Hindrance/Assistance : Nil
updated on : 05/09/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",north,Engg completed. FCC cleared. Electrical works are clubbed. CR would br drawn by Feb 2025
49,14.01.53.21.4.50.001,2021-2022,9/7/21,WFD: Pro. Provision of Over Head Tank(OHT) of 1.00 Lakh litre capacity.,WFD,SEC: Stn: WFD,Cap.,5693,250,4.39,"Tender opening on 16.5.2022 Tender awarded on 21.6.22. Agency to submit design drawings and PG.PG not submitted, agency terminated. Tender to be recalled. Status : 5% work completed. Raft work completed. erection work in progress.
updated on : 05/09/2024",N,,east,FOundation work completed. Column raising work under progress. TDC: 28.02.2025
50,14.01.53.21.4.50.002,2021-2022,3/8/21,"Bangalore Div: Pro. Repair/ Replacement of Counter Tables provided in the Booking offices, PRS locations & Parcel offices",SBC,SEC: Stn: SBC,DRF,6315,3210,50.83,"LOA awarded vide No. 43498 of 19.10.2020. Agt No. 2021/0071 of 06.01.22 (Prestige Enterprises). Agt value Rs. 3399331/-. Work completed. FCC to be passed.
updated on : 15/05/2024",N,,div,"work completed, FCC under Process"
51,14.01.53.21.4.50.003,2021-2022,17/01/2022 (DRM/SBC),Chickbanawar - Hassan -: Improvements to station approaches and other miscellaneous works at various stations in ADEN/KIGL Section,BAW,SEC:BAW-HAS Stn: BAW,DRF,8470,3993,47.14,"DE Sanctioned on 18.02.2022. 100% of work completed. FCC to be passed.
updated on : 15/05/2024",N,,South,Work completed.FCC being processed. TDC for work completion: 31.01.2025 TDC for passing FCC: 28.02.2025
52,14.01.53.21.4.50.004,2021-2022,4/3/22,"Bangalore city- Improvements to circulating, parking area and other miscellaneous works at second entry in SBC and other passenger amenities.",SBC,SEC: Stn: SBC,DF(1),8263,7956,96.28,"work completed final bill in progress. TDC : 31.05.2024
updated on : 15/05/2024",N,,west,work completed. Final variation in progress with accounts. TDC for FCC: 31.01.2025
53,14.01.53.22.1.30.001,2022-2023,08/07/2022 (CRB/RB),Yeshvanthpur - Redevelopment of Yeshvanthpur Junction Railway station,YPR,SEC: Stn: YPR,Cap.,3665700,576377,15.72,"1) MLCP: Entire G+5 structure is completed. Finishing works like flooring, painting, electrification works are in progress on various floors. 2) Elevated Road: Foundations and columns have been completed and the balance 50 sqm slab area is in progress along with finishing works. Staircase columns reinforcement work and beam shuttering work in progress. Ticket counter projection beam, slab reinforcement and shuttering work is in progress. 3) Overhead Tank: Foundations, columns, slab casting and tank wall is fully completed. Staircase shuttering work and tank painting work is in progress. 4) Air Concourse: Foundations on PF-1 are fully completed and are in progress on the other platforms. Fabrication of columns and girders are in progress at the fabrication yard. Columns pedestals up to base plate level and second lift casted, curing and de-shuttering work in progress at PF 4 & 5. 5) External Development (East side): Sewer line, storm line and fire-fighting line work - 85% completed. Footpath work - 50% completed. 6) Underground Tank (UGT): Pump room first lift reinforcement work and Shuttering work in progress. 35% Tank wall completed. 7) Rain Water Harvesting: Rain water pipe line installation, concrete packing work and manhole brick work is in progress. updated on : 14/08/2024",Y,SWR- Major upgradation of stations (PB#1176/NR/2022-23) (Part of Umbrella Work 2021-22 - Item No.2/Supl/Dec 2021),north,Work in Progress
54,14.01.53.22.1.30.004,2022-2023,20/08/2022,Bangalore cantt - Redevelopment of Bangalore Cantonment Railway station at Bangalore,BNC,SEC: Stn: BNC,Cap.,4845800,571234,11.79,"1) Type-II Quarters (G+4): Structure completed. Finishing works are like electrical, sanitary fittings and false ceiling works in progress. 2) ORH (G+2): Structure completed. Staircase flooring, external and internal painting works are in progress. 3) DPWTC Hostel (G+4): Structure completed. Flooring works, elevation block works and external & internal painting works are in progress. 4) DPWTC: Structure completed. False ceiling and electrical works in progress at entrance. All other works completed. 5) CAO building (B+G+9): 1st floor Columns and shear wall work completed. Second floor slab shuttering and reinforcement work in progress. Block work and plastering work in progress at the Basement floor. 6) FOB 3: All foundation works completed on all PFs and backfilling works in progress at PF-1B & 1C. Skywalk foundation (North side) work is in progress. 7) South side station building: (a)2nd floor slab work 60% completed and balance staging and shuttering work in progress. (b) Dismantling of 40m length of the existing building is in progress. (c) Alternate entry on the south side has been provided from 26/07/2024 and portico dismantling work is in progress. 8) Unpaid FOB: Footing work is completed on PF-1 and PF-2. 9) FOB 2 : Foundation works are in progress on PF -1 & 2. 10) Air concourse : Excavation and PCC for foundation 25% completed and footing reinforcement work in progress on PF-1. PF Shelter removal work in progress at PF-2. 11) Southside Basement: Excavation for foundation work is in progress. Agency is fixed for shifting of public utilities like water pipeline, sewerage line, 66kv and 11kv power cables. The procurement of materials is in progress. upated on 14/08/2024",Y,SWR - Major upgradation of stations on Indian Railways (Phase-2) (PB#1180/NR/2022-23),east,Work in Progress
55,14.01.53.22.1.50.003,2022-2023,2/8/22,Bangalore city Division - Provision for construction of OSOP sale outlets (Static & mobile) in SBC division : Total - 80 Stations,SBC,SEC: Stn: SBC,Cap.,63115,6142,9.73,"Work is recently sanctioned, DE 
sanctioned dtd. 06.04.2023, Work 
is in progress. 40 Stations completed.
updated on : 15/05/2024",Y,"SWR - Soft Upgrade at Stations (like provision of passenger amenities, cover over platform etc.) (Umbrella Work 2022-23)",div,"Work is recently sanctioned, DE 
sanctioned dtd. 06.04.2023, Work 
is in progress. 40 Stations completed.
OSOP for further stations would be indented based on the demand for OSOP at stations"
56,14.01.53.22.1.50.005,2022-2023,17/02/2023,Bangalore city - Jolarpettai - Re-Construction of FOB at TCL Station (4T),TCL,SEC:SBC-JTJ Stn: SBC,Cap.,36008,256,0.71,"Detailed estimate sanction on. Dt 27.03.2023. ii) Tender status: Tender issued on 12.03.2024. iii) Work in progress/to be started: Work in progress. iv) TDC-31.10.2024 v) Latest Status: GAD is pending for approval. 25% Work completed
updated on : 05/09/2024",Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),east,Foundation work under progress. 15% completed. TDC for work completion: 31.03.2025
57,14.01.53.22.1.53.002,2022-2023,29/07/2022 (CRB/RB),Bangarapet - construction of 2nd entry with TTE room and new FOB towards MKM end at BWT station.,BWT,SEC: Stn: BWT,Cap.,97112,42420,43.68,,Y,"SWR - Soft Upgrade at Stations (like provision of passenger amenities, cover over platform etc.) (Umbrella Work 2022-23)",east,FOB work completed. TTE rest room buidling Ground floor completed. First floor roof work under progress. 75% work completed. TDC for work completion: 31.01.2025
58,14.01.53.22.3.50.001,2022-2023,12/8/22,Bidadi - Improvements to existing ground with released sleepers for Circulating area adjacent to road 5 at BID yard (MYS end),BID,SEC: Stn: BID,Cap.,11469,7437,64.84,"Work is newly sanctioned, DE sanctioned on 02.09.22. Tender awarded, Work completed FCC in progress.
updated on : 15/05/2024",Y,"SWR - Soft Upgrade at Stations (like provision of passenger amenities, cover over platform etc.) (Umbrella Work 2022-23)",west,"Engg: FCC in process. TDC for FCC drawing 15.01.2025
Elec: Work in progress. TDC for work completion (2 High Masts): 31.01.2025. Combined with other works."
59,14.01.53.22.3.50.002,2022-2023,16/08/2022 (GM/SWR),Kuppam - Construction of RCC OHT With GLR 1 Lakh litre capacity each and Pump House at KPN,KPN,SEC: Stn: KPN,Cap.,10766,10155,94.32472599,"i) Detailed estimate sanction on. Dt ii) Tender status: Tender issued on 02.12.2022. iii) Work in progress/to be started: Work in progress. iv) TDC-31.10.2024 v) Latest Status: GAD is pending for approval. 25% Work completed.
updated on : 05/09/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",east,"Engg completed. FCC cleared.
Elec: Work completed. Final bill to be cleared as it is linked to other works. TDC for closure: Feb 2025"
60,14.01.53.22.3.50.003,2022-2023,16/08/2022 (GM/SWR),"Bangarapet - Marikuppam - Raising & Extension of Platform from ML to HL at CNKH, HUD, GJT, DNU, DTT stations (5Nos)","CNKH, HUD, GJT, DNU, DTT",SEC:BWT-MKM Stn: BWT,Cap.,24964,6786,27.18,"Work is newly sanctioned, DE sanctioned, Loa Awarded on 21.11.22, Extension completed, Work of earth filling progress at CNKH. 2) HUD extension completed, soil filling to start. 3) GJT extension completed, soil filling to start. 4) DNU Extension completed, Final bill to be processed.
updated on : 05/09/2024",Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),east,"Engg completed. FCC cleared.
Elec: LOA issued. TDC: 28.02.2025"
61,14.01.53.22.3.50.004,2022-2023,25/08/2022 (GM/SWR),Bangalore city - Jolarpettai - Provision of PF shelter on KPN & TCL and Pay & Use toilet with Borewell at TCL,"KPN,TCL",SEC:SBC-JTJ Stn: SBC,Cap.,18550,2528,13.63,"i) Detailed estimate sanction on. Dt.- 02.11.2022. ii) Tender status: Tender issued on 16.01.2023. iii) Work in progress/to be started: Work completed. iv) TDC- v) Latest Status: Work completed. FCC to be passed. 

updated on : 05/09/2024",Y,"SWR - Soft Upgrade at Stations (like provision of passenger amenities, cover over platform etc.) (Umbrella Work 2022-23)",east,Work completed. FCC TO BE DONE. TDC for final bill: 15.12.2024
62,14.01.53.22.3.53.010,2022-2023,Dy.CE/GS/SBC/17/2023 dt.21/03/2023,Bangalore Div : Consultancy services for preparation of DPR in connection with Modernisation of 15 stns under Amrit Bharat Station Scheme,SBC,SEC: Stn:,Cap.,13803,2311,16.74,,Y,SWR- Major upgradation of stations (PB#1176/NR/2022-23) (Part of Umbrella Work 2021-22 - Item No.2/Supl/Dec 2021),Gati Sakthi,
63,14.01.53.22.4.50.001,2022-2023,13/09/2022 (DRM/SBC),"Chintamani - Upgradation of CMY Stn duly providing PF Shelter, water booths, circulating area improvements & Pay&use toilet at BWT",CMY,SEC: Stn: CMY,Cap.,8684,1772,20.41,"i) Detailed estimate sanction on. Dt.- 15.11.2022. ii) Tender status: Tender issued on 06.02.2023. iii) Work in progress/to be started: Work completed. iv) TDC- v) Latest Status: Work completed. FCC to be passed 
updated on : 05/09/2024",N,,east,"Work Completed , TDC for FCC: 30.12.2024."
64,14.01.53.22.4.50.002,2022-2023,13/09/2022 (DRM/SBC),Bangalore city - Jolarpettai - Provision of IRS type PF shelter on PF-1/2 and 3/4 at MLO and PF1/2 and 3 at DKN Station.,JTJ,SEC:SBC-JTJ Stn: SBC,Cap.,20295,9394,46.29,"i) Detailed estimate sanction on. Dt.- 14.11.2022. ii) Tender status: Tender issued on 06.02.2023. iii) Work in progress/to be started: Work completed. iv) TDC- v) Latest Status: Work completed. FCC to be passed.
updated on : 05/09/2024",N,,east,Work completed. FCC Under process. TDC for FCC 15.12.2024
65,14.01.53.22.4.50.003,2022-2023,6/10/22,Banglore city - Beautification of second entry including circulating area for making it passenger friendly station.,SBC,SEC: Stn: SBC,Cap.,15245,14202,93.16,"DE sanctioned on 15.11.22, Work awarded on 12.12.22, Work is in progress (80% completed). Work held up due to electrical works. TDC - 05/24
updated on : 15/05/2024",N,,west,fcc in progress. TDC for FCC: 31.01.2025
66,14.01.53.22.4.50.005,2022-2023,06/10/2022 (DRM/SBC),Bangalore city - Salem jn - Improvements to Passenger Amenities at 19 Stations in SBC-SA Section,Combined,SEC:SBC-SA Stn: SBC,RRSK,21231,9465,44.58,"DE sanctioned on 19.10.22, Tender awarded vide LOA No. 67271 of 06.12.2022, Agt No. 2023/0011 of 16.02.2023 (Senthil Thirukumaran), Agt value Rs. 16045698/-. Work completed. Final variation sanctioned, FCC to be prepared.
updated on : 15/05/2024",N,,South,Final bill passed. CR drawal TDC : 31.12.2024
67,14.01.53.22.4.50.006,2022-2023,11/10/2022 (DRM/SBC),Krishnarajapuram - Construction of Waiting Room at KJM station.,KJM,SEC: Stn: KJM,Cap.,7403,0,0,"i) Detailed estimate sanction on. Dt.- 14.11.2022. ii) Tender status: Tender issued on 06.02.2023. iii) Work in progress/to be started: Work to be started. iv) TDC- v) Latest Status: work will be taken up by GSU.
updated on : 05/09/2024",N,,east,Work handed over to GSU. Work commencement to be done/
69,14.01.53.22.4.50.009,2022-2023,11/10/2022 (DRM/SBC),"Malur – Upgradation of MLO station including Waiting hall, Approach road, circulating area and parking lot.",MLO,SEC: Stn: MLO,Cap.,23342,28349,121.45,"i) Detailed estimate sanction on. Dt.- ii) Tender status: Tender issued on 10.03.2023. iii) Work in progress/to be started: Work in progress. iv) TDC-31.10.2024. v) Latest Status: 95% Work completed. Balance work in progress.
updated on : 05/09/2024",N,,east,"Engg: Work completed. FCC completed.
Elec: Electrical component has been advised to Gati Shakti"
70,14.01.53.22.4.50.010,2022-2023,11/10/2022 (DRM/SBC),"Yelahanka - Provision of Parcel Office, Parcel stacking shed, TC Office and Sec. CMI Room at YNK station",YNK,SEC: Stn: YNK,Cap.,2351,267,11.36,"DE sanctioned, LOA issued on 22.9.2023. Location of parcel office not yet finalized due to C-4 KRIDE alignement.
updated on : 15/05/2024",N,,north,"Work in progress, Parcel office foundation work started. TDC : 30.06.2025"
71,14.01.53.22.4.50.011,2022-2023,11/10/22,"Bangalore city - Renovation of General Waiting hall for Gents & Ladies at PF-1, AC Waiting hall at PF 1 , PF 7& 8",SBC,SEC: Stn: SBC,DRF,11769,284,2.41,"Renovation of ladies waiting hall completed. Variation vetting in progress. Balance work to be taken up.TDC-31.05.24.Agency abandoned the work , work to be terminated.
updated on : 15/05/2024",N,,west,Renovation of ladies and general waiting hall completed. Balance work to be taken up by floating new tender. Tender for remaining works is opening on 24.12.2024.
72,14.01.53.22.4.50.012,2022-2023,11/10/22,Bangalore city - Water proofing treatment to Station building and replacement of damaged gutters at SBC,SBC,SEC: Stn: SBC,DRF,17294,6709,38.79,"Renovation of ladies waiting hall completed. Variation vetting in progress. Balance work to be taken up.TDC-31.05.24.Agency abandoned the work , work to be terminated.
updated on : 15/05/2024",N,,west,"Work awarded on 18.01.23, Work completed on PF 5 building, PF 8 shelter 90% completed, main building 90% completed,gutter on PF 5 & 6 completed, PF 9 & 10 80% completed. Balance gutter work to be taken up. TDC 28.02.25"
73,14.01.53.22.4.50.013,2022-2023,11/10/2022 (DRM/SBC),Construction of FOIS cum CGSR Room & merchant/labour room at NDV and DBU Stations,"NDV,DBU",SEC: Stn: DBU,DF(1),6596,0,0,"DE sanctioned, LOA issued on 22.9.2023.NDV: Work is in progress. DBU : Location not yet finalised due to ABSS work.
updated on : 15/05/2024",N,,north,NDV: location identified. Work under progress. DBU: Location not available due to ABSS work
74,14.01.53.22.4.50.014,2022-2023,11/10/22,Bangalore city - Improvements and Upgradation of Circulating area of main entry at SBC,SBC,SEC: Stn: SBC,RRSK,23480,2934,12.5,"Work awarded on 12.10.23 & Work in progress.TDC-06/2024
updated on : 15/05/2024",N,,west,"work in progress, finalisation of plan is yet to be done"
75,14.01.53.22.4.50.017,2022-2023,20/03/2023,Bangalore city - Mysore - Provision of Coach watering facilities at Kengeri (KGI) station,KGI,SEC:SBC-MYS Stn: SBC,RRSK,21685,0,0,"Detailed Estimate Sanctioned. Tender under finalisation
updated on : 15/05/2024",N,,west,work started. LOA issued on 23.04.24. TDC for work completion 30.5.2025
76,14.01.53.22.4.50.018,2022-2023,23/03/2023,Bangalore city~~Replacement of SBC concourse area lift of Thyssenkrup Make on condition basis,SBC,SEC: Stn: SBC,Cap.,4145,0,0,"Detailed estimate vetted. Stores indent placed. Stores retender opened on 19th September23. Agency- Omega Elevators-Ahmedabad. PO released on 10.11.2023 @ Rs.16,10,700. Existing lift dismantled. New lift initial GAD approved on 5.12.2023 and revised GAD approved on 14.12.2023. Shaftroom construction by Engg dept. completed. Materials delivered on 7th March and erection work completed. Awaiting license. Ltest status:Progrss(99%).Work completed. CIG inspection conducted on 18.07.2024.Awaiting license. (Defeciencies to be rectified from civil side as per CEIG remarks, license to be obtained after that). 
updated on : 06/09/2024",N,,west,Work Completed. Combined with other works (Main STation entry work) which is targeted by June 2025.
77,14.01.53.22.4.50.019,2022-2023,31/03/2023 (DRM/SBC),SBC-JTJ Sec: Improvements to Coach watering facilities at Bangarapet (BWT) Station.,BWT,SEC: Stn: BWT,RRSK,14563,1664,11.43,"i) Detailed estimate sanction on. Dt. - May 23. ii) Tender status: Tender issued on 16.11.2023. iii) Work in progress/to be started: Work in progress. iv) TDC-31.10.2024. v) Latest Status: 75% Work completed. Balance work in progress. 
updated on : 05/09/2024",N,,east,Work under progress. 85% complete. TDC for work completion: 30.11.2024.
78,14.01.53.22.4.50.020,2022-2023,31/03/2023 (DRM/SBC),SBC-JTJ Sec: Improvements to Station Approach road at SKPT & Improvements to Second class waiting hall at KPN station,SKPT,SEC:SBC-JTJ Stn: SBC,RRSK,4708,0,0,"DE sanctioned in May-23, Tender planned to be called
updated on : 05/09/2024",N,,east,Work under progress. 60% complete. TDC for work completion: 31.12.2024.
79,14.01.53.23.1.53.001,2023-2024,Dy.CE/GS/SBC/05/2023 dt.22/07/2023,SBC Division: Modernization of Mandya (MYA) and Channapattana (CPT) stations under Amrit Bharat Station Scheme (Phase l),"MYA,CPT",SEC: Stn: MYA,Cap.,201267,40233,19.99,"ngineering: Mandy: 2 & 4 wheeler parking at MYA : Waiting for ADEN office shifting & GRP building shifting. Auto lane work at MYA: Waiting for ADEN office shifting & GRP building shifting. Building Extension work: Work can be started after shifting GRP office. Canopy work: 12/23 excavation done. 6/23 footing completed. other building works at MYA: Type II Quarters for 6 units: Tiles work and outside plastering in progress. ADEN/MYA new office balance works: Handed over to open line for balance finishing work. GRP station building: Ground floor Roof slab casting completed. PF Shelter work: PF:2&3 Purlin erection in progress. PF:1 shelter foundation work started. Toilet block work at PF-2&3: Column footing work in progress Channapatna: 2 wheeler parking at CPT: Structural steel Fabrication completed. Station Building work: Plinth beam work in progress. Toilet block work for Gents & ladies at PF:2&3: Foundation work in progress. PF Shelter at PF-2&3: Purlin erection work in progress. PF Shelter at PF: 1: 9/9 columns foundation work completed. 
updated on : 05/09/2024",Y,SWR-Soft upgrades/improvements at stations (Umbrella work 2023-24),Gati Sakthi,Work in Progress
80,14.01.53.23.1.53.002,2023-2024,Dy.CE/GS/SBC/11/2023 dt.24/07/2023,SBC Division: Modernization of Tumkur (TK) and Malleshwaram (MWM) stations under Amrit Bharat Station Scheme (Phase l),"TK,MWM",SEC: Stn: TK,Cap.,197807,50710,25.64,"Engineering: Tumkur & Malleshwaram station: Tumkur: Renovation Of Type IV Quarters: Building main structure work completed and wall work 70% done. PF Shelter Work: Foundations and Erection of shelter columns and rafters on PF-1&2 Done. Malleshwaram: Trackmen Rest Room at MWM: RCC Structure Completed Upto Columns raising, Brick work completed, Slab Shuttering Completed. Retaining Wall for Platform Widening: 390Rm done. 
updated on : 05/09/2024",Y,SWR-Soft upgrades/improvements at stations (Umbrella work 2023-24),Gati Sakthi,Work in Progress
81,14.01.53.23.1.53.003,2023-2024,Dy.CE/GS/SBC/10/2023 dt.22/07/2023,"SBC Division: Modernization of Bangarapet (BWT), Malur (MLO) and Kuppam (KPN) stations under Amrit Bharat Station Scheme (Phase l)","BWT,MLO,KPN",SEC:SBC-KPN Stn: SBC,Cap.,220379,65679,29.8,"Engg: Malur - Bangarpet and Kuppam stations: Malur: 2 & 4 wheeler parking at MLO Main Entry: Presently parking is shifted to new location for other side works. Painting is planned before inauguration only. 2 wheeler parking at MLO second entry: Greenery work and demarcation with thermoplastic painting in concrete area in progress. 4 wheeler parking at MLO second entry: Greenery work and demarcation with thermoplastic painting in concrete area Auto lane work at MLO: Main entry side auto lane work completed. Second entry side in progress. Second entry Building work: Column lifting and brickwork Up to Lintel level completed. Toilet block work at PF-1&2: Roof slab shuttering completed. PF Shelter at PF-1 & 2: 8/12 bolt fixing completed. 4/12 nos balance. Fabrication of structural steel in progress. Bangarpet: Approach road widening work including drain: 60m length drain & compound wall work completed. 2 wheeler parking at RMS area: Flooring and Roofing completed. Handed over to user dpt. 4 wheeler parking at Miawaky area: Compound wall work completed. Flooring in progress 4 wheeler parking at Toon park area: Compound wall work completed. Flooring in progress PF Shelter work at PF-1&2: Rafters erection in progress. PF:3&4 Toilet: Foundarion excavation work in progress. Kuppam: 2 wheeler parking at KPN Main entry: Shelter erection balance. 4 wheeler parking at KPN Main entry: This area is used for the temporary parking of 2 wheelers as lease area is given for wheeler shelter (part-2) 2 wheeler parking at KPN second entry: Flooring and Roofing completed. 4 wheeler parking at KPN second entry: Flooring completed. 2nd entry Building work: Up to floor slab completed. Toilet block work at PF-1&2: First floor work in progress. Divyang Toilet block work at PF:1: Lintel level work completed. 
updated on : 05/09/2024",fol,SWR-Soft upgrades/improvements at stations (Umbrella work 2023-24),Gati Sakthi,Work in Progress
82,14.01.53.23.1.53.004,2023-2024,Dy.CE/GS/SBC/08/2023 dt.25/07/2023,SBC Division: Modernization of Doddaballapura (DBU) and Hindupur (HUP) stations under Amrit Bharat Station Scheme (Phase l),"DBU,HUP",SEC:DBU-HUP Stn: DBU,Cap.,224035,36623,16.35,"Engineering: Doddaballapur - Hindupur Stations: Doddaballapur: 2-wheeler parking at DBU Main entry: WBM & PCC completed. 4-wheeler parking at DBU Main entry: Flooring work completed. Approach road work in progress. 2-wheeler parking at DBU 2nd entry: 80/125m work completed. Track machine Restroom, Gangmen Rest room: Plastering work in progress. GRP Station building: Up to lintel level works completed. 2nd Entry Building, Toilet block work at PF-2&3: Foundation work in progress. Toilet block work at PF-4: Drawing prepared & location marked. PF Shelter at PF-1: 6/11 Foundation work in completed on stage. PF Shelter at PF-2&3: Column erection 15/16 nos completed. Approach road work: 130/300m PCC completed. Coping and Demarcation Tactile tiles work: 100/550m completed. Hindupur: 2 wheeler parking: (Part-2) WMM work in progress 4 wheeler parking: Footpath & approach road works in progress. 2nd Entry Building work: Relocation building work in progress. Canopy work at Main entry: Foundation work in progress. Union Office: Roof slab level works completed. SC & ST Association Office: Plinth level work in completion stage. RMS Office building: Below slab level work completed. PF-1 Shelter: 8/8 columns purlins erections stage. PF-2&3 Shelter: Columns foundation work in between Butterfly foundation in progress. Purlins erection in progress. Toilet block work at PF-2&3: Upto Plinth beam work completed. Exg waiting hall: Planning stage - Work in progress 
updated on : 05/09/2024",Y,SWR-Soft upgrades/improvements at stations (Umbrella work 2023-24),Gati Sakthi,Work in Progress
